competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Cardiff,James Botham,5,1,,,,66,134,2,8,6,119,9,5,5,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,James Culhane,5,1,,,,78,291,,12,4,89,7,6,2,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,James Fender,,,,,,34,25,,,,63,9,2,6,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,James Hume,10,2,,,,100,330,4,17,10,77,22,6,7,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,James Humphreys,4,,2,,,1,,,,,5,,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,James Lang,7,1,1,,,75,321,3,16,5,72,14,8,4,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,James Lowe,20,4,,,,89,503,7,18,14,28,15,17,5,1,,
United Rugby Championship,2026-07-12,2025/26,Ulster,James McCormick,,,,,,13,22,1,,,21,10,,1,,,23
United Rugby Championship,2026-07-12,2025/26,Ulster,James McKillop,,,,,,4,18,1,1,,13,1,,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,James Ratti,15,3,,,,136,318,1,13,7,122,14,9,3,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,James Ryan,5,1,,,,67,63,,1,2,75,5,7,4,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,James Whitcombe,,,,,,6,2,,,1,10,,,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Jamie Bhatti,,,,,,33,21,,,,42,5,2,11,,,1
United Rugby Championship,2026-07-12,2025/26,Glasgow,Jamie Dobie,35,7,,,,46,265,6,16,4,35,1,5,4,,,1
United Rugby Championship,2026-07-12,2025/26,Leinster,Jamie Osborne,10,2,,,,71,299,2,8,6,45,9,2,3,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Jamison Gibson-Park,10,2,,,,32,193,3,10,4,33,8,12,2,,,1
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Jan Serfontein,5,1,,,,14,79,,5,1,26,1,3,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Jan-Hendrik Wessels,,,,,,52,128,1,4,,77,7,5,16,,,19
United Rugby Championship,2026-07-12,2025/26,Sharks,Jannes Potgieter,,,,,,8,18,,3,,7,,,,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Jared Rosser,15,3,,,,22,196,7,11,1,16,8,6,2,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Jarod Cairns,5,1,,,,26,104,5,7,3,85,11,6,5,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Jarrod Taylor,20,4,,,,86,273,5,12,2,119,18,9,13,1,,1
United Rugby Championship,2026-07-12,2025/26,Sharks,Jason Jenkins,10,2,,,,60,129,1,1,3,75,13,8,5,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Javan Sebastian,25,5,,,,67,48,1,6,,91,13,1,16,1,,
